lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,thermal_conductivity,T*_sim_std,P*_sim_std,TotEn_sim_std,thermal_conductivity_std
7.0,6.0,0.1,2.8,0.1,2.800399396896552,0.2377541853103447,3.221164414137931,1.3350474614846803,0.0048889561222524,0.0012826701016221,7.520077411314204e-05,0.1340430450131585
7.0,6.0,0.1,3.8,0.1,3.8003945355437665,0.354777682944297,4.792973410344827,1.5151412436207348,0.00442621112295,0.001487711537347,6.062789833175911e-05,0.2234968063854686
7.0,6.0,0.1,4.6,0.1,4.600027284326019,0.4471792304702194,6.035157689655173,1.9903117677864044,0.0044099047518832,0.0016594921165666,5.64632830052404e-05,0.3141558209619043
7.0,6.0,0.1,5.3,0.1,5.300537649568966,0.5275552001293103,7.118538994827587,1.8612753028785711,0.004530228844403,0.0018416586861794,5.150011842298664e-05,0.2403971432321358
7.0,6.0,0.1,6.0,0.1,6.000044400313479,0.6074291156739812,8.19748987617555,2.3262196934276393,0.0046141676727479,0.0020026470448384,4.982639335514353e-05,0.1613165483586924
7.0,6.0,0.1,10.0,0.1,9.999380584350131,1.0585729953580902,14.34281050397878,2.8241151729124025,0.0063220882236009,0.002844418252467,0.0001179074662505,0.3298558824832151
7.0,6.0,0.101221,1.81,0.101221,1.8085171517241376,0.1184543503448275,1.5623506137931036,0.95425297266845,0.0076243189116303,0.0011466836044599,0.00015483103148,0.0672706376987321
7.0,6.0,0.102451,1.92,0.102451,1.919972855172414,0.1335985706896551,1.7479641620689654,0.9561450573485256,0.0068910705742719,0.0011721751630197,0.0001332009194238,0.0400480869501742
7.0,6.0,0.11,1.97,0.11,1.9705788551724135,0.1460295720689655,1.754675479310345,1.0700430216187018,0.0069715044355024,0.0013150371467986,0.0001351365792559,0.051305838938958
7.0,6.0,0.11,2.19,0.11,2.190588851724138,0.1761036427586206,2.1309863655172414,1.100300482984499,0.0061774369197616,0.0013381802559233,0.0001093195936712,0.0771617388680417
7.0,6.0,0.12,1.8,0.12,1.8013467034482755,0.1264415148275862,1.3293599344827585,0.8339124956761337,0.0092881867927039,0.0015570887275305,0.0002169835282189,0.0260343308465334
7.0,6.0,0.15,1.9,0.15,1.9001067933189657,0.1548069206249999,1.1869723424568963,1.3467374253249798,0.0101916079565625,0.0023356413199151,0.0002720240826555,0.2107016402880402
7.0,6.0,0.15,2.0,0.15,1.9988962431034485,0.1752631307241379,1.3800437303448276,1.3714424254569877,0.0085125996712334,0.0022206830668076,0.000201120942582,0.1175180512351036
7.0,6.0,0.15,2.03,0.15,2.029916534482759,0.181581888275862,1.4380342827586206,1.1679528193916393,0.008047049415905,0.0021991067059545,0.0001882507924595,0.0609512365849229
